Date,High,Low,Open,Close,Volume,Adj Close
2020-02-05,334.5799865722656,332.20001220703125,333.7799987792969,334.2900085449219,4106100.0,326.7962951660156
2020-02-06,335.67999267578125,334.2900085449219,335.57000732421875,335.57000732421875,4442600.0,328.047607421875
2020-02-07,335.1300048828125,333.1199951171875,334.3299865722656,333.75,4679900.0,326.2684020996094
2020-02-10,336.239990234375,332.7099914550781,332.7099914550781,336.2200012207031,3614300.0,328.68304443359375
2020-02-11,338.5400085449219,336.260009765625,337.7099914550781,336.8399963378906,5850800.0,329.28912353515625
2020-02-12,339.19000244140625,337.9800109863281,338.3900146484375,339.0,5473300.0,331.40069580078125
2020-02-13,339.67999267578125,337.1000061035156,337.4599914550781,338.5799865722656,7908300.0,330.9900817871094
2020-02-14,339.260009765625,337.75,339.0,339.07000732421875,6510600.0,331.46917724609375
2020-02-18,338.70001220703125,336.75,338.04998779296875,338.260009765625,3566600.0,330.67730712890625
2020-02-19,340.6300048828125,339.0199890136719,339.3299865722656,339.8800048828125,2678800.0,332.2610168457031
2020-02-20,340.20001220703125,335.2300109863281,339.3299865722656,338.489990234375,3567700.0,330.9021301269531
2020-02-21,337.32000732421875,334.1000061035156,337.0,335.010009765625,4323700.0,327.50018310546875
2020-02-24,327.2799987792969,322.70001220703125,324.6099853515625,323.8299865722656,7492100.0,316.5707702636719
2020-02-25,326.05999755859375,313.0799865722656,325.3800048828125,314.1199951171875,12100900.0,307.07843017578125
2020-02-26,319.5,312.07000732421875,315.5299987792969,312.9100036621094,11655100.0,305.89556884765625
2020-02-27,311.0299987792969,298.7099914550781,306.7200012207031,298.7099914550781,11340100.0,292.013916015625
2020-02-28,297.9599914550781,286.7099914550781,290.0400085449219,295.9100036621094,19516300.0,289.2766418457031
2020-03-02,310.5,295.6499938964844,299.3399963378906,310.3999938964844,11780800.0,303.4418029785156
2020-03-03,315.1499938964844,298.8800048828125,310.760009765625,301.5,12910300.0,294.7413330078125
2020-03-04,314.75,304.7099914550781,307.45001220703125,314.75,7188600.0,307.6943054199219
2020-03-05,309.80999755859375,301.30999755859375,306.32000732421875,303.760009765625,6506600.0,296.9507141113281
2020-03-06,300.0400085449219,291.4200134277344,294.489990234375,298.70001220703125,9896200.0,292.0041198730469
2020-03-09,285.2900085449219,274.5799865722656,277.20001220703125,274.79998779296875,14676500.0,268.6398620605469
2020-03-10,289.739990234375,274.6099853515625,285.7099914550781,289.54998779296875,14213300.0,283.0592346191406
2020-03-11,283.0299987792969,271.989990234375,281.8599853515625,275.4700012207031,9984000.0,269.2948303222656
2020-03-12,267.7799987792969,248.55999755859375,256.8800048828125,248.9600067138672,22444700.0,243.37913513183594
